,COUNTY,USAWT2RC,W1STATE,WWWHISP,CENSDIV,F2,STRATA,WWWRACE3,WWWBLACK,WWWAGE,WWWEDU5,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1134,-0.6005239030779307,-0.042887562181153416,-0.6000000000000001,-1,0.29032258064516125,0.3333333333333335,1.0,-1,-1,-0.6666666666666665,-0.5,0,0,0,1,0,1,1
2027,0.8426471658298769,-1.0,0.8181818181818181,-1,0.29032258064516125,0.3333333333333335,0.0,0,1,-0.33333333333333326,-0.5,1,0,1,0,0,1,0
1622,0.9651458924543403,-1.0,0.9636363636363636,-1,-0.3548387096774195,1.0,1.0,-1,-1,-0.09090909090909083,-0.5,0,0,1,1,1,1,1
1132,-0.37888379538674244,-0.8416871776747992,-0.38181818181818183,-1,-0.3548387096774195,1.0,1.0,-1,-1,0.21212121212121238,1.0,0,0,0,1,1,1,1
2800,0.8408280579203957,-1.0,0.8181818181818181,-1,0.29032258064516125,0.3333333333333335,0.0,-1,-1,0.030303030303030498,1.0,1,0,0,0,1,1,1
1447,-0.3099032234592157,0.17028987287015118,-0.3090909090909091,-1,-0.29032258064516125,-0.33333333333333326,1.0,-1,-1,-0.9696969696969696,-0.5,0,0,0,0,0,0,0
1604,-0.7444517208760825,-1.0,-0.7454545454545455,-1,0.9354838709677418,1.0,1.0,-1,-1,-0.2727272727272725,0.0,1,0,0,0,0,0,0
642,0.49072254966164564,-0.12767297721423432,0.49090909090909074,-1,-0.935483870967742,0.3333333333333335,1.0,-1,-1,-0.5151515151515151,0.0,0,0,0,1,1,0,0
2712,-0.6380702903296225,-1.0,-0.6363636363636365,-1,0.29032258064516125,-0.33333333333333326,0.0,0,1,0.4242424242424243,0.0,0,0,0,0,0,0,0
220,-0.6008149603434476,-1.0,-0.6000000000000001,-1,0.29032258064516125,1.0,-1.0,-1,-1,-0.6969696969696968,1.0,0,0,0,1,0,1,1
164,0.7158553445390379,-1.0,0.709090909090909,1,0.41935483870967727,0.3333333333333335,-1.0,-1,-1,0.09090909090909105,0.5,0,0,1,0,0,1,1
1256,0.4202139270901548,-0.4560592869647525,0.4181818181818182,-1,0.41935483870967727,0.3333333333333335,1.0,-1,-1,-0.09090909090909083,0.5,0,0,0,0,1,0,1
2059,0.02022847995343069,-1.0,0.018181818181818077,-1,-0.29032258064516125,0.3333333333333335,0.0,0,1,-0.3939393939393938,-0.5,0,0,1,0,0,1,0
1111,-0.20104780615586126,-1.0,-0.20000000000000007,-1,-1.0,0.3333333333333335,1.0,1,-1,-0.45454545454545436,0.5,0,0,0,0,0,0,0
1073,0.0914647456887141,-0.7199859004017359,0.09090909090909083,-1,-0.29032258064516125,1.0,1.0,-1,-1,0.4545454545454546,-0.5,0,0,0,1,1,1,1
1870,0.490795313978025,-1.0,0.49090909090909074,-1,-0.935483870967742,-0.33333333333333326,1.0,-1,-1,-0.5757575757575757,1.0,0,0,0,0,0,0,0
