,COUNTY,P17_A,W1AGE,WWWBLACK,W1STATE,STRATA,F3,CD2,P1,X1,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1870,0.490795313978025,-0.1428571428571428,-0.5757575757575757,-1,0.49090909090909074,1.0,0.3333333333333335,0.6363636363636362,-0.5,-0.9795918367346939,0,0,0,1,0,0,0
593,-0.560066943171069,-0.9999999999999999,-0.303030303030303,-1,-0.5636363636363637,1.0,0.3333333333333335,0.303030303030303,-1.0,-0.9795918367346939,1,0,0,1,0,0,0
1345,-0.9622717019573602,0.7142857142857144,-0.8181818181818181,1,-0.9636363636363636,1.0,-0.33333333333333326,0.8181818181818183,-1.0,-0.9591836734693877,0,0,0,0,0,0,0
808,-0.08782652986975203,-0.9999999999999999,-0.030303030303030276,-1,-0.09090909090909094,1.0,1.0,0.030303030303030276,-1.0,-0.9387755102040817,1,0,0,1,0,0,0
2044,-0.08644400785854633,-0.1428571428571428,-0.4242424242424241,1,-0.09090909090909094,0.0,-0.33333333333333326,0.48484848484848486,-1.0,-0.9183673469387755,0,0,0,0,0,0,0
1411,0.38419559048242724,-0.1428571428571428,-0.21212121212121193,-1,0.38181818181818183,1.0,0.3333333333333335,0.21212121212121215,-1.0,-0.9591836734693877,1,0,0,1,1,0,0
1510,0.05420941570253923,0.7142857142857144,-0.7878787878787877,-1,0.05454545454545445,1.0,-0.33333333333333326,0.8484848484848486,-0.5,-0.9795918367346939,0,0,0,1,0,0,0
1655,-0.41868587644619093,-0.9999999999999999,0.6060606060606064,-1,-0.4181818181818182,1.0,1.0,-0.5454545454545454,-1.0,-0.9795918367346939,1,0,0,1,1,0,0
160,0.7158553445390379,-0.1428571428571428,0.666666666666667,-1,0.709090909090909,-1.0,1.0,-0.6666666666666667,-1.0,-0.9591836734693877,0,0,1,1,0,0,0
1275,-0.9978170705086227,-0.9999999999999999,-0.6363636363636362,-1,-1.0,1.0,-0.33333333333333326,0.6363636363636362,-1.0,-0.9795918367346939,0,0,0,1,0,0,0
883,0.27468529433165956,-0.1428571428571428,-0.09090909090909083,-1,0.2727272727272727,1.0,-0.33333333333333326,0.09090909090909083,-1.0,-0.9795918367346939,1,0,0,1,1,0,0
2479,-0.41868587644619093,0.7142857142857144,0.9696969696969697,-1,-0.4181818181818182,-1.0,1.0,-0.9090909090909092,-1.0,-0.9183673469387755,0,0,0,1,1,0,0
1146,0.19944699119551745,-0.9999999999999999,-0.45454545454545436,-1,0.19999999999999996,1.0,0.3333333333333335,0.4545454545454546,-1.0,-0.9183673469387755,1,0,0,1,0,0,0
1096,0.3096849305100777,-0.1428571428571428,-0.09090909090909083,-1,0.3090909090909091,1.0,0.3333333333333335,0.09090909090909083,-1.0,-0.9795918367346939,1,0,0,1,1,0,0
874,0.23510150622134884,-0.1428571428571428,-0.6666666666666665,-1,0.23636363636363633,1.0,-0.33333333333333326,0.6666666666666665,-1.0,-0.9591836734693877,0,0,0,1,0,0,0
663,0.45477697737029743,0.7142857142857144,-0.1212121212121211,-1,0.45454545454545436,1.0,0.3333333333333335,0.1212121212121211,-1.0,-0.9591836734693877,0,0,0,1,1,0,0
1056,0.09102815979043855,-0.9999999999999999,-0.5454545454545454,-1,0.09090909090909083,1.0,1.0,0.5454545454545454,-1.0,-0.9795918367346939,1,0,0,1,0,0,0
2068,-0.560358000436586,-0.9999999999999999,-0.15151515151515138,-1,-0.5636363636363637,1.0,0.3333333333333335,0.1515151515151516,-1.0,-0.9591836734693877,0,0,0,1,1,0,0
2753,-0.562104344029688,-0.9999999999999999,-0.606060606060606,1,-0.5636363636363637,0.0,-0.9999999999999999,0.6666666666666665,-1.0,-0.9387755102040817,0,0,0,0,0,0,0
1793,0.49297824346940233,-0.1428571428571428,-0.8181818181818181,-1,0.49090909090909074,1.0,-0.33333333333333326,0.8787878787878789,-1.0,-0.9591836734693877,0,0,0,1,0,0,0
878,-0.8189623808484321,-0.9999999999999999,0.48484848484848486,-1,-0.8181818181818182,1.0,1.0,-0.48484848484848486,-1.0,-0.9795918367346939,0,0,0,1,0,0,0
984,-0.8511242086880595,-0.1428571428571428,-0.8484848484848484,-1,-0.8545454545454545,1.0,0.3333333333333335,0.8484848484848486,-1.0,-0.9795918367346939,0,0,0,1,0,0,0
968,0.4934148293676779,0.7142857142857144,-0.5757575757575757,-1,0.49090909090909074,1.0,-0.33333333333333326,0.5757575757575757,-1.0,-0.9183673469387755,1,0,0,1,0,0,0
1039,0.09037328094302532,-0.1428571428571428,-0.6363636363636362,-1,0.09090909090909083,1.0,0.3333333333333335,0.6363636363636362,-1.0,-0.9795918367346939,0,0,0,1,0,0,0
1242,0.8921632831259547,-0.1428571428571428,-0.06060606060606055,-1,0.8909090909090909,1.0,1.0,0.06060606060606055,-1.0,-0.9387755102040817,0,0,0,1,0,0,0
2345,0.7090882631157678,0.7142857142857144,0.666666666666667,1,0.709090909090909,-1.0,-0.9999999999999999,-0.6060606060606061,-1.0,-0.9795918367346939,0,0,1,0,1,0,0
1667,0.01746343593101929,-0.1428571428571428,0.030303030303030498,-1,0.018181818181818077,1.0,1.0,0.030303030303030276,-1.0,-0.9795918367346939,1,0,0,1,0,0,0
682,0.018409372043949546,-0.1428571428571428,-0.5757575757575757,-1,0.018181818181818077,1.0,-0.33333333333333326,0.5757575757575757,0.0,-0.9795918367346939,0,0,1,1,0,1,1
1069,-0.6011787819253439,1.0,0.7575757575757578,-1,-0.6000000000000001,1.0,-0.9999999999999999,-0.7575757575757576,-1.0,-0.9387755102040817,0,0,0,1,1,0,0
1314,-0.3773557447427782,-0.9999999999999999,-0.06060606060606055,-1,-0.38181818181818183,1.0,-0.33333333333333326,0.06060606060606055,-1.0,-0.9183673469387755,1,0,0,1,1,0,0
192,-0.8180892090518811,0.7142857142857144,0.6363636363636367,-1,-0.8181818181818182,-1.0,0.3333333333333335,-0.6363636363636364,-1.0,-0.9591836734693877,0,0,1,1,1,0,0
