,COUNTY,WWWRACE4,WWWAGEC1,W1STATE,HISWT1RV,STRATA,CENSDIV,CL2,WWWEDU3,RHWT2CC,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
192,-0.8180892090518811,0.3333333333333335,0.9999999999999998,-0.8181818181818182,-0.9521444783877145,-1.0,0.9999999999999998,-0.9999999999999999,-1.0,-1.0,0,0,1,1,1,1,1
1239,-0.30917558029542325,-0.9999999999999999,0.9999999999999998,-0.3090909090909091,-0.7575993270506505,1.0,-0.29032258064516125,1.0,0.0,-1.0,0,0,1,1,0,0,1
270,-0.14658371534599446,-0.33333333333333326,0.0,-0.1636363636363637,-0.9940084729732567,0.0,0.29032258064516125,-0.9999999999999999,0.0,-1.0,0,0,1,1,0,1,1
1182,1.0,-0.9999999999999999,0.9999999999999998,0.9999999999999998,-0.601906115134315,1.0,0.9354838709677418,-0.9999999999999999,1.0,-0.944016150422983,1,0,1,0,0,1,1
658,0.7461980644691841,-0.9999999999999999,-0.33333333333333326,0.7454545454545454,-0.6342533826489802,1.0,0.9354838709677418,0.1428571428571428,1.0,-0.929171728917284,1,0,1,0,0,1,1
1658,0.3818671323582914,-0.9999999999999999,0.6666666666666667,0.38181818181818183,-1.0,1.0,-0.3548387096774195,-0.9999999999999999,0.0,-0.8881834618570124,1,0,1,0,0,1,1
1005,0.27504911591355574,-0.9999999999999999,0.33333333333333326,0.2727272727272727,-0.9204468746838781,1.0,-0.935483870967742,0.1428571428571428,1.0,-0.9842968085762243,1,0,0,1,0,1,1
106,0.7170195736011058,1.0,0.33333333333333326,0.709090909090909,-0.9770751446009671,-1.0,0.41935483870967727,-0.9999999999999999,0.0,-0.9933202886193041,1,0,1,0,0,0,1
1089,0.8175798588372261,-0.9999999999999999,-0.33333333333333326,0.8181818181818181,-0.7631171393585372,1.0,0.29032258064516125,-0.9999999999999999,0.0,-1.0,0,0,1,0,0,1,1
1663,0.6005239030779304,-0.9999999999999999,0.9999999999999998,0.5999999999999999,-1.0,1.0,0.29032258064516125,-0.9999999999999999,0.0,-0.9326609371592418,0,0,1,0,0,1,1
1406,-0.3799752601324312,-0.9999999999999999,-1.0,-0.38181818181818183,-0.3606177829936298,1.0,-0.3548387096774195,-0.9999999999999999,0.0,-1.0,0,0,1,0,0,1,1
706,0.41759441170050193,-0.9999999999999999,-0.33333333333333326,0.4181818181818182,-0.25960687923626613,1.0,0.41935483870967727,-0.9999999999999999,0.0,-1.0,0,0,1,0,0,1,1
2940,-0.08644400785854633,-0.33333333333333326,-0.6666666666666666,-0.09090909090909094,-1.0,0.0,-0.3548387096774195,-0.9999999999999999,1.0,-0.9956537010307609,1,0,1,1,0,1,1
1910,-0.08731717965509733,-0.9999999999999999,0.33333333333333326,-0.09090909090909094,-1.0,1.0,-0.3548387096774195,-0.9999999999999999,0.0,-0.9175005365390023,0,0,1,0,0,1,1
1037,-0.3796842028669142,-0.9999999999999999,0.33333333333333326,-0.38181818181818183,-0.6276578645677905,1.0,-0.3548387096774195,0.1428571428571428,1.0,-1.0,0,0,1,0,0,1,1
3086,0.4913046641926797,-0.9999999999999999,0.6666666666666667,0.49090909090909074,-1.0,1.0,-0.935483870967742,-0.9999999999999999,0.0,-0.8797856421800418,1,0,1,0,0,1,1
2703,0.27315724368769545,-0.33333333333333326,-0.6666666666666666,0.2727272727272727,-1.0,0.0,-0.935483870967742,-0.9999999999999999,0.0,-0.9988585739870849,1,0,1,1,0,1,1
