,Unnamed: 0,Data Type,Data Transformation,X_train Size,X_test Size,Classifiers,Training Accuracy,Accuracy,Weighted F1,Cohen Kappa,Data Augmentation Methods,GAN,seed
404,404,pca_umap,,"(3174, 2)","(684, 2)",logisticRegression,0.6014,0.5804,0.57,0.076,smoteNN,True,1
405,405,pca_umap,,"(3174, 2)","(684, 2)",decisionTree,0.9751,0.5365,0.5251,-0.0206,smoteNN,True,1
406,406,pca_umap,,"(3174, 2)","(684, 2)",randomForest,0.9754,0.5965,0.6087,0.0046,smoteNN,True,1
407,407,pca_umap,,"(3174, 2)","(684, 2)",xgb,0.9707,0.5424,0.5533,-0.1181,smoteNN,True,1
408,408,pca_umap,,"(2082, 2)","(684, 2)",naive,0.5,0.6915,0.8176,0.0,smoteTomek,False,1
409,409,pca_umap,,"(2082, 2)","(684, 2)",MLP,0.7334,0.5439,0.5464,-0.0805,smoteTomek,False,1
410,410,pca_umap,,"(2082, 2)","(684, 2)",logisticRegression,0.5624,0.5263,0.5148,-0.0445,smoteTomek,False,1
411,411,pca_umap,,"(2082, 2)","(684, 2)",decisionTree,0.8242,0.5746,0.6038,-0.1029,smoteTomek,False,1
412,412,pca_umap,,"(2082, 2)","(684, 2)",randomForest,0.8612,0.5863,0.6262,-0.1046,smoteTomek,False,1
413,413,pca_umap,,"(2082, 2)","(684, 2)",xgb,0.8223,0.5775,0.611,-0.1081,smoteTomek,False,1
414,414,pca_umap,,"(6246, 2)","(684, 2)",naive,0.5,0.6915,0.8176,0.0,smoteTomek,True,1
415,415,pca_umap,,"(6246, 2)","(684, 2)",MLP,0.8061,0.4152,0.405,-0.0571,smoteTomek,True,1
416,416,pca_umap,,"(6246, 2)","(684, 2)",logisticRegression,0.7499,0.4854,0.4662,-0.0589,smoteTomek,True,1
417,417,pca_umap,,"(6246, 2)","(684, 2)",decisionTree,0.9395,0.5365,0.5357,-0.082,smoteTomek,True,1
418,418,pca_umap,,"(6246, 2)","(684, 2)",randomForest,0.9382,0.4547,0.4339,-0.0956,smoteTomek,True,1
419,419,pca_umap,,"(6246, 2)","(684, 2)",xgb,0.889,0.4635,0.4455,-0.0249,smoteTomek,True,1
420,420,pca_umap,oneW,"(638, 2)","(226, 2)",naive,0.5,0.6549,0.7914,0.0,smote,False,1
421,421,pca_umap,oneW,"(638, 2)","(226, 2)",MLP,0.605,0.5133,0.5393,-0.1612,smote,False,1
422,422,pca_umap,oneW,"(638, 2)","(226, 2)",logisticRegression,0.5643,0.5265,0.5563,-0.1408,smote,False,1
423,423,pca_umap,oneW,"(638, 2)","(226, 2)",decisionTree,0.7665,0.4513,0.4415,-0.1576,smote,False,1
424,424,pca_umap,oneW,"(638, 2)","(226, 2)",randomForest,0.8213,0.4381,0.4268,-0.1754,smote,False,1
425,425,pca_umap,oneW,"(638, 2)","(226, 2)",xgb,0.8777,0.4336,0.4227,-0.1881,smote,False,1
426,426,pca_umap,oneW,"(1914, 2)","(226, 2)",naive,0.5,0.6549,0.7914,0.0,smote,True,1
427,427,pca_umap,oneW,"(1914, 2)","(226, 2)",MLP,0.7597,0.6283,0.64,0.1358,smote,True,1
428,428,pca_umap,oneW,"(1914, 2)","(226, 2)",logisticRegression,0.6014,0.5841,0.6174,-0.019,smote,True,1
429,429,pca_umap,oneW,"(1914, 2)","(226, 2)",decisionTree,0.9154,0.6239,0.6681,0.0499,smote,True,1
430,430,pca_umap,oneW,"(1914, 2)","(226, 2)",randomForest,0.908,0.6283,0.7028,0.0096,smote,True,1
431,431,pca_umap,oneW,"(1914, 2)","(226, 2)",xgb,0.8736,0.6195,0.6957,-0.014,smote,True,1
432,432,pca_umap,oneW,"(192, 2)","(226, 2)",naive,0.5,0.6549,0.7914,0.0,editNN,False,1
433,433,pca_umap,oneW,"(192, 2)","(226, 2)",MLP,0.5052,0.5531,0.5731,-0.0559,editNN,False,1
434,434,pca_umap,oneW,"(192, 2)","(226, 2)",logisticRegression,0.5,0.4912,0.4933,0.0783,editNN,False,1
435,435,pca_umap,oneW,"(192, 2)","(226, 2)",decisionTree,0.7552,0.5487,0.5379,0.1095,editNN,False,1
436,436,pca_umap,oneW,"(192, 2)","(226, 2)",randomForest,0.8073,0.6195,0.6473,0.0739,editNN,False,1
437,437,pca_umap,oneW,"(192, 2)","(226, 2)",xgb,0.7865,0.6106,0.6229,0.0947,editNN,False,1
438,438,pca_umap,oneW,"(576, 2)","(226, 2)",naive,0.5,0.6549,0.7914,0.0,editNN,True,1
439,439,pca_umap,oneW,"(576, 2)","(226, 2)",MLP,0.783,0.5664,0.5628,0.0579,editNN,True,1
440,440,pca_umap,oneW,"(576, 2)","(226, 2)",logisticRegression,0.5434,0.6372,0.6544,0.14,editNN,True,1
441,441,pca_umap,oneW,"(576, 2)","(226, 2)",decisionTree,0.9306,0.4956,0.4918,0.0654,editNN,True,1
442,442,pca_umap,oneW,"(576, 2)","(226, 2)",randomForest,0.9306,0.4115,0.4421,-0.006,editNN,True,1
